Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.1,4244471986,608,6981039.5,12974.5,6090,84698165,17629407.5,cudaStreamSynchronize
11.1,558932696,10698,52246.5,8600.0,5590,85776378,1394063.8,cudaLaunchKernel
3.6,181682680,417,435689.9,271468.0,7540,61573795,3003511.4,cudaMalloc
0.4,22321528,4,5580382.0,6878387.0,1257520,7307234,2897287.8,cuLibraryLoadData
0.2,12612746,800,15765.9,12850.0,9920,125739,9701.2,cudaMemcpyAsync
0.2,8068219,960,8404.4,7665.0,5680,211418,7640.4,cudaMemsetAsync
0.2,7808146,976,8000.1,1600.0,790,5827495,186495.6,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,4675744,2,2337872.0,2337872.0,36580,4639164,3254518.4,cudaDeviceSynchronize
0.0,2299193,1,2299193.0,2299193.0,2299193,2299193,0.0,cudaFree
0.0,2068385,1,2068385.0,2068385.0,2068385,2068385,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1192698,868,1374.1,1130.0,600,157049,5390.2,cudaStreamIsCapturing_v10000
0.0,310429,810,383.2,335.0,180,7910,323.6,cuGetProcAddress_v2
0.0,70439,1,70439.0,70439.0,70439,70439,0.0,cuModuleLoadData
0.0,39309,4,9827.3,6884.5,5450,20090,6883.1,cuLibraryGetKernel
0.0,31480,18,1748.9,700.0,570,13820,3179.1,cudaEventCreateWithFlags
0.0,17300,3,5766.7,2380.0,1230,13690,6885.9,cuInit
0.0,10590,1,10590.0,10590.0,10590,10590,0.0,cuLaunchKernel
0.0,2210,3,736.7,320.0,230,1660,800.9,cuModuleGetLoadingMode
0.0,1170,2,585.0,585.0,450,720,190.9,cudaGetDriverEntryPoint_v11030
