Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
14.1,269112183,648,415296.6,384129.5,373474,685283,79813.3,CUDA_KERNEL,ampere_sgemm_128x64_nt
10.1,191395910,438,436977.0,377682.0,376834,1336646,128369.3,CUDA_KERNEL,ampere_sgemm_128x64_tn
9.5,180163208,432,417044.5,384482.0,375906,688196,81102.7,CUDA_KERNEL,ampere_sgemm_128x32_nn
5.6,106719958,864,123518.5,108353.0,107296,253218,33404.1,CUDA_KERNEL,ampere_sgemm_32x128_tn
5.4,103539709,864,119837.6,110081.0,106177,226689,23768.8,CUDA_KERNEL,ampere_sgemm_32x128_nt
5.0,95046175,216,440028.6,406626.0,397729,724068,84475.1,CUDA_KERNEL,ampere_sgemm_128x32_tn
4.9,93860696,216,434540.3,382449.5,380961,693507,115292.2,CUDA_KERNEL,ampere_sgemm_128x64_nn
4.0,75785667,564,134371.8,134912.0,65696,310690,13850.3,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
4.0,75400433,648,116358.7,107184.5,103009,241793,23533.1,CUDA_KERNEL,ampere_sgemm_32x128_tt
3.8,71555145,282,253741.6,255201.0,122304,442658,23453.4,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)3>, at::native::<unnamed>::PointwiseOpScalarListFunctor<float, (int)3, (int)3, (int)0>, std::divides<float>>(T1, T2, T3...)"
