Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
11.2,368400239,432,852778.3,747587.0,744644,1373446,232094.1,  16   80    1,  64    1    1,ampere_sgemm_64x64_tn
10.8,354178925,432,819858.6,794052.0,760196,1394406,110630.3,   8   20    9, 128    1    1,ampere_sgemm_128x64_nt
10.5,344073050,432,796465.4,770979.0,739107,1504263,108986.4,  10  160    1, 256    1    1,ampere_sgemm_128x32_nn
5.8,189931493,864,219828.1,192801.0,191425,352993,59371.5,   8   20    4, 128    1    1,ampere_sgemm_128x64_tn
5.5,181521759,216,840378.5,813716.0,779652,1419463,111525.0,  40   40    1, 256    1    1,ampere_sgemm_128x32_tn
5.5,179913893,216,832934.7,730451.5,729699,1337286,225554.3,   8   20    4, 128    1    1,ampere_sgemm_128x64_nn
5.1,166277140,216,769801.6,744867.0,713283,1313254,104816.4,   8   40    1, 256    1    1,ampere_sgemm_128x128_nt
4.3,142244488,648,219513.1,212896.5,203361,374594,28149.4,  20   40    1, 256    1    1,ampere_sgemm_64x32_sliced1x4_nt
4.3,142214989,648,219467.6,213089.0,203105,370306,27517.5,  32   10    3, 256    1    1,ampere_sgemm_32x128_tt
2.5,82527440,1728,47758.9,48224.5,42752,216481,6849.3,10240    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.3,74773388,552,135459.0,134881.0,127360,265697,7209.5, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
2.2,70925586,276,256976.8,255585.0,249185,405730,12694.7, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)3>, at::native::<unnamed>::PointwiseOpScalarListFunctor<float, (int)3, (int)3, (int)0>, std::divides<float>>(T1, T2, T3...)"
2.0,65641002,216,303893.5,293825.0,281090,514883,41765.6,   1    1 8192, 256    1    1,ampere_sgemm_128x128_tt
1.9,63139355,216,292311.8,282433.0,270401,496834,40085.6,   1    1 8192, 256    1    1,ampere_sgemm_128x128_nt
1.7,54864255,276,198783.5,197585.0,190977,310561,9947.0, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::PointwiseOpScalarFunctor<float, (int)3, (int)3, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
1.7,54269278,276,196627.8,196320.5,192161,205825,2216.6, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::TernaryOpScalarFunctor<float, (int)2, (int)2, (int)0>, at::native::LerpFunctor<float>, float>(T1, T2, T3...)"
