Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.9,4640552917,684,6784434.1,30579.5,4999,77870510,17056472.1,cudaStreamSynchronize
10.5,594481246,12026,49433.0,8840.0,5640,89467450,1359317.0,cudaLaunchKernel
4.0,229356813,646,355041.5,249018.0,6399,60366775,2365755.0,cudaMalloc
1.7,94205532,900,104672.8,16520.0,10640,71114192,2369706.7,cudaMemcpyAsync
1.2,68400232,2,34200116.0,34200116.0,6588279,61811953,39049034.4,cudaDeviceSynchronize
0.4,23849416,4,5962354.0,7283453.5,1333610,7948899,3105652.4,cuLibraryLoadData
0.1,7810590,664,11762.9,2010.0,760,6011494,233228.4,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,2193093,1,2193093.0,2193093.0,2193093,2193093,0.0,cudaFree
0.0,2173554,1,2173554.0,2173554.0,2173554,2173554,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1423982,1153,1235.0,1200.0,610,23110,900.2,cudaStreamIsCapturing_v10000
0.0,282128,810,348.3,310.0,180,9190,365.5,cuGetProcAddress_v2
0.0,70520,1,70520.0,70520.0,70520,70520,0.0,cuModuleLoadData
0.0,29760,18,1653.3,705.0,560,12130,2780.4,cudaEventCreateWithFlags
0.0,13830,4,3457.5,1700.0,1300,9130,3786.5,cuLibraryGetKernel
0.0,12970,3,4323.3,3610.0,2330,7030,2429.8,cuInit
0.0,10979,1,10979.0,10979.0,10979,10979,0.0,cuLaunchKernel
0.0,2860,2,1430.0,1430.0,650,2210,1103.1,cudaGetDriverEntryPoint_v11030
0.0,2140,3,713.3,220.0,200,1720,871.9,cuModuleGetLoadingMode
