Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.1,4175416510,684,6104410.1,22689.5,5530,181942685,20268803.4,cudaStreamSynchronize
40.5,3443592415,33530,102701.8,8360.0,4580,211945005,1580630.3,cudaLaunchKernel
4.2,361160800,2,180580400.0,180580400.0,180434406,180726394,206466.7,cudaDeviceSynchronize
3.5,300428923,811,370442.6,261988.0,5269,71419243,2499454.4,cudaMalloc
1.4,115579249,1566,73805.4,14500.0,9650,72142887,1822579.0,cudaMemcpyAsync
0.8,66460741,438,151736.9,79004.0,5930,573556,175746.1,cudaMemsetAsync
0.3,22183591,4,5545897.8,6705094.0,1275980,7497423,2871025.2,cuLibraryLoadData
0.1,9028584,1134,7961.7,1740.0,590,5866376,174218.8,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,6509803,432,15069.0,855.0,470,5999104,288598.6,cuKernelGetFunction
0.0,3304800,433,7632.3,7960.0,5100,39929,2672.8,cuLaunchKernel
0.0,2148624,2,1074312.0,1074312.0,2280,2146344,1516082.2,cudaFree
0.0,2043295,1,2043295.0,2043295.0,2043295,2043295,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1638605,1321,1240.4,1180.0,600,15030,782.1,cudaStreamIsCapturing_v10000
0.0,271370,810,335.0,260.0,190,2780,169.2,cuGetProcAddress_v2
0.0,70020,1,70020.0,70020.0,70020,70020,0.0,cuModuleLoadData
0.0,69000,36,1916.7,650.0,550,12160,3127.8,cudaEventCreateWithFlags
0.0,18600,3,6200.0,2140.0,1150,15310,7905.0,cuInit
0.0,18170,6,3028.3,1725.0,1000,9760,3352.9,cuLibraryGetKernel
0.0,2260,3,753.3,280.0,240,1740,854.7,cuModuleGetLoadingMode
0.0,1560,2,780.0,780.0,670,890,155.6,cudaGetDriverEntryPoint_v11030
