Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
18.7,1236724508,1014,1219649.4,818787.0,490498,7491263,852408.5,CUDA_KERNEL,ampere_sgemm_128x64_tn
12.6,832539084,720,1156304.3,1018085.0,505218,3390542,562804.6,CUDA_KERNEL,ampere_sgemm_128x128_nn
9.9,653412679,432,1512529.3,1983624.5,479682,3118701,713703.5,CUDA_KERNEL,ampere_sgemm_64x32_sliced1x4_nt
9.2,607327877,288,2108777.4,2090745.0,1970185,3291214,112014.1,CUDA_KERNEL,ampere_sgemm_128x32_nn
7.6,503572931,576,874258.6,516194.5,488642,3030381,624173.7,CUDA_KERNEL,ampere_sgemm_128x64_nt
4.7,312600572,288,1085418.7,1119988.5,948900,1590535,82923.0,CUDA_KERNEL,ampere_sgemm_128x128_nt
4.6,303846642,2034,149383.8,142000.5,3040,713251,193653.8,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
4.0,263298041,438,601137.1,532483.0,509059,7915329,573551.6,CUDA_KERNEL,ampere_sgemm_128x64_tt
3.9,257335103,576,446762.3,445986.0,410818,692419,44391.8,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.3,155712029,870,178979.3,64209.0,55712,562210,163581.7,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.0,132253113,1008,131203.5,35296.0,31328,684643,194607.3,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.9,122874815,594,206860.0,242593.0,22304,561603,181695.0,MEMORY_OPER,[CUDA memcpy DtoD]
1.8,119746107,288,415785.1,406914.0,402050,548739,32323.8,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.7,114846740,876,131103.6,3744.0,3392,395427,181883.6,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.7,112755994,606,186066.0,6048.0,3360,391713,191618.5,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.6,104609594,2178,48030.1,41344.0,5152,875204,38923.4,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.6,103446524,1020,101418.2,34160.5,11904,275201,90951.5,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
1.2,81170569,144,563684.5,559378.5,526210,883876,30352.2,CUDA_KERNEL,ampere_sgemm_128x128_tn
1.2,77522515,2058,37668.9,28383.5,25440,248865,15646.3,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.1,72921117,144,506396.6,500226.0,472866,787107,31625.0,CUDA_KERNEL,ampere_sgemm_128x64_nn
0.8,55921814,144,388345.9,387922.0,382338,460002,6792.7,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.5,32921526,252,130641.0,133744.5,49472,308641,21136.2,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
0.5,32779801,144,227637.5,217313.0,214433,294594,24206.9,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
0.5,31673707,667,47486.8,5760.0,3168,207936,69230.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.5,31100460,126,246829.0,254321.5,92608,260642,34298.5,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)3>, at::native::<unnamed>::PointwiseOpScalarListFunctor<float, (int)3, (int)3, (int)0>, std::divides<float>>(T1, T2, T3...)"
0.5,30456456,6,5076076.0,4547029.0,4545365,7623936,1248834.6,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_simt_sgemm_64x128_8x5_nt_align1>(T1::Params)
0.4,26021016,144,180701.5,179713.0,172097,198177,4189.6,CUDA_KERNEL,"void magma_sgemmEx_kernel<float, float, float, (bool)1, (bool)1, (int)6, (int)3, (int)6, (int)3, (int)4>(int, int, int, Tensor, int, Tensor, int, Tensor, int, Tensor, int, int, int, const T1 *, const T1 *, T1, T1, int, cublasLtEpilogue_t, int, const void *, long)"
0.4,25760692,288,89446.8,80640.0,79584,265890,21560.4,CUDA_KERNEL,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)2, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.4,24038508,126,190781.8,196016.5,71777,206113,26611.5,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::PointwiseOpScalarFunctor<float, (int)3, (int)3, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
0.4,23935183,126,189961.8,195680.5,72192,201473,26253.1,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::TernaryOpScalarFunctor<float, (int)2, (int)2, (int)0>, at::native::LerpFunctor<float>, float>(T1, T2, T3...)"
0.3,21958028,144,152486.3,152193.0,148769,204321,4426.7,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.3,16611367,126,131836.2,135393.0,51744,141025,17934.5,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)1>, at::native::<unnamed>::BinaryOpScalarListFunctor<float, (int)1, (int)1, (int)0>, std::divides<float>>(T1, T2, T3...)"
0.2,16461201,126,130644.5,134464.5,49761,142689,18101.3,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::plus<float>, float>(T1, T2, T3...)"
0.2,16357160,126,129818.7,133425.0,52000,138048,17499.8,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::UnaryOpFunctor<float, (int)2, (int)1, (int)1>, at::native::Sqrt<float>>(T1, T2, T3...)"
0.2,13827804,144,96026.4,95648.0,94656,99936,1222.6,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,11195275,1346,8317.4,4352.0,3328,198753,8399.2,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,9288489,456,20369.5,2144.5,2015,61760,25699.0,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,8068445,294,27443.7,27392.0,26656,32416,476.0,CUDA_KERNEL,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
