Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.2,396738332,8042,49333.3,8400.0,5570,90397704,1242569.9,cudaLaunchKernel
20.0,183683132,456,402813.9,13019.5,10289,77267845,3626649.9,cudaStreamSynchronize
17.6,161915415,1008,160630.4,7420.0,5950,77122726,3433186.6,cudaMemsetAsync
14.3,130865444,188,696092.8,271338.0,5140,74238988,5395430.4,cudaMalloc
2.5,22702766,4,5675691.5,6893737.0,1446659,7468633,2832504.2,cuLibraryLoadData
0.9,8321613,600,13869.4,12305.0,9560,62510,6389.4,cudaMemcpyAsync
0.8,7756329,1024,7574.5,1560.0,750,5900765,184364.3,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.3,2299843,1,2299843.0,2299843.0,2299843,2299843,0.0,cudaFree
0.2,2055984,1,2055984.0,2055984.0,2055984,2055984,0.0,cudaGetDeviceProperties_v2_v12000
0.1,582913,527,1106.1,1070.0,590,13060,729.2,cudaStreamIsCapturing_v10000
0.0,287298,810,354.7,320.0,170,1210,165.2,cuGetProcAddress_v2
0.0,72039,1,72039.0,72039.0,72039,72039,0.0,cuModuleLoadData
0.0,29350,18,1630.6,675.0,570,11080,2569.5,cudaEventCreateWithFlags
0.0,28660,2,14330.0,14330.0,12650,16010,2375.9,cudaDeviceSynchronize
0.0,12950,4,3237.5,1670.0,1310,8300,3390.6,cuLibraryGetKernel
0.0,10860,1,10860.0,10860.0,10860,10860,0.0,cuLaunchKernel
0.0,7090,3,2363.3,2010.0,1190,3890,1384.2,cuInit
0.0,2130,3,710.0,240.0,220,1670,831.4,cuModuleGetLoadingMode
0.0,1290,2,645.0,645.0,450,840,275.8,cudaGetDriverEntryPoint_v11030
