Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
10.4,95331441,288,331011.9,292513.0,254913,525154,86524.9,  64    2    5, 128    1    1,void cutlass::Kernel2<cutlass_80_simt_sgemm_32x128_8x5_nt_align1>(T1::Params)
9.2,84621832,288,293825.8,259233.0,253057,464897,76120.9,   4   64    4, 128    1    1,ampere_sgemm_128x64_tn
9.0,82949009,288,288017.4,254513.0,248513,455042,74821.4,   8   64    1, 128    1    1,ampere_sgemm_128x64_nn
5.6,51434695,576,89296.3,78816.0,76513,259936,23457.4,  16    8    5, 256    1    1,ampere_sgemm_32x128_tn
4.5,41774689,144,290102.0,256609.0,250753,458210,75447.8,   4   64    4, 128    1    1,ampere_sgemm_128x64_nt
4.5,41756995,144,289979.1,255089.0,249249,457954,76200.6,  32   16    1, 128    1    1,ampere_sgemm_128x64_tn
4.5,41598400,144,288877.8,255185.0,249473,454721,74242.4,   4   16    5, 128    1    1,ampere_sgemm_128x64_nn
4.0,36678993,432,84905.1,75696.0,72737,132129,20704.3,  16    8    5, 256    1    1,ampere_sgemm_32x128_tt
3.9,35979478,432,83285.8,74016.5,69120,217857,23206.8,  32    8    2, 256    1    1,ampere_sgemm_32x128_nt
3.5,32047970,240,133533.2,133521.0,127521,141984,2173.9, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
3.3,30563124,120,254692.7,254161.0,250369,262273,2443.5, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)3>, at::native::<unnamed>::PointwiseOpScalarListFunctor<float, (int)3, (int)3, (int)0>, std::divides<float>>(T1, T2, T3...)"
2.6,23612674,120,196772.3,195264.5,189985,360833,15320.2, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::PointwiseOpScalarFunctor<float, (int)3, (int)3, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
2.6,23537374,120,196144.8,194865.0,189665,344577,13849.7, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::TernaryOpScalarFunctor<float, (int)2, (int)2, (int)0>, at::native::LerpFunctor<float>, float>(T1, T2, T3...)"
2.5,23022984,144,159881.8,141392.5,138176,253217,41778.0,   1    1 4096, 256    1    1,ampere_sgemm_128x128_nt
2.4,21635074,1878,11520.3,11425.0,6464,187904,5175.6,2048    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.1,18941553,576,32884.6,31872.0,19840,57473,10254.6,   1    1   64, 256    1    1,ampere_sgemm_128x128_nn
2.0,18276711,2058,8880.8,6785.0,5952,20673,3255.7,2048    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.8,16496270,864,19092.9,21121.0,9280,26688,5179.2,4096    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.8,16487553,120,137396.3,135488.0,132321,244321,13585.5, 320    1    1, 512    1    1,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)1>, at::native::<unnamed>::BinaryOpScalarListFunctor<float, (int)1, (int)1, (int)0>, std::divides<float>>(T1, T2, T3...)"
