Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.5,1403330244,22100,63499.1,7610.0,4600,138925948,1549923.2,cudaLaunchKernel
38.4,1330515566,456,2917797.3,22379.0,3500,131642733,13745628.1,cudaStreamSynchronize
7.7,266609163,450,592464.8,268333.0,5010,71661102,4583874.6,cudaMalloc
7.7,265598368,2,132799184.0,132799184.0,132530256,133068112,380321.6,cudaDeviceSynchronize
3.6,124660420,1014,122939.3,6230.0,5020,1781367,311627.2,cudaMemsetAsync
0.7,23158773,4,5789693.3,7131200.5,1329310,7567062,2980782.9,cuLibraryLoadData
0.6,19648998,1050,18713.3,13675.0,9400,106809,12486.3,cudaMemcpyAsync
0.3,9297620,1350,6887.1,1360.0,610,6536580,177917.5,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.2,8366445,151,55406.9,8600.0,7040,335788,73130.6,cuLaunchKernel
0.2,6285711,150,41904.7,890.0,820,6066843,495270.3,cuKernelGetFunction
0.1,2199853,2,1099926.5,1099926.5,2870,2196983,1551472.2,cudaFree
0.1,2055404,1,2055404.0,2055404.0,2055404,2055404,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1007032,792,1271.5,1220.0,610,13380,899.8,cudaStreamIsCapturing_v10000
0.0,288668,810,356.4,330.0,170,1130,151.1,cuGetProcAddress_v2
0.0,70350,1,70350.0,70350.0,70350,70350,0.0,cuModuleLoadData
0.0,67740,36,1881.7,945.0,570,10860,2522.8,cudaEventCreateWithFlags
0.0,17139,6,2856.5,1570.0,1090,8819,2972.0,cuLibraryGetKernel
0.0,6930,3,2310.0,2240.0,1120,3570,1226.5,cuInit
0.0,2210,3,736.7,220.0,210,1780,903.6,cuModuleGetLoadingMode
0.0,1300,2,650.0,650.0,540,760,155.6,cudaGetDriverEntryPoint_v11030
