Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.7,663221439,11114,59674.4,7040.0,4650,93128194,1499912.5,cudaLaunchKernel
4.7,37098620,140,264990.1,248193.5,3580,619325,77669.7,cudaMalloc
3.0,23853660,4,5963415.0,7284580.0,1324370,7960130,3117588.1,cuLibraryLoadData
2.8,22427066,228,98364.3,11825.0,10130,5017102,563379.4,cudaStreamSynchronize
2.3,18077974,534,33853.9,12279.5,8580,11169895,482819.9,cudaMemcpyAsync
1.4,10851408,2,5425704.0,5425704.0,5397839,5453569,39407.1,cudaDeviceSynchronize
1.1,8921714,1490,5987.7,1450.0,640,6164313,159699.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.4,3398619,504,6743.3,6620.0,5010,19569,1494.4,cudaMemsetAsync
0.3,2154163,2,1077081.5,1077081.5,2140,2152023,1520196.8,cudaFree
0.3,2044524,1,2044524.0,2044524.0,2044524,2044524,0.0,cudaGetDeviceProperties_v2_v12000
0.0,366796,314,1168.1,1130.0,590,13510,903.8,cudaStreamIsCapturing_v10000
0.0,260717,810,321.9,300.0,180,1100,126.5,cuGetProcAddress_v2
0.0,72559,1,72559.0,72559.0,72559,72559,0.0,cuModuleLoadData
0.0,49170,36,1365.8,605.0,550,8970,1827.5,cudaEventCreateWithFlags
0.0,12330,4,3082.5,1535.0,1270,7990,3274.5,cuLibraryGetKernel
0.0,10500,1,10500.0,10500.0,10500,10500,0.0,cuLaunchKernel
0.0,7520,3,2506.7,2100.0,1410,4010,1346.9,cuInit
0.0,2100,3,700.0,230.0,220,1650,822.7,cuModuleGetLoadingMode
0.0,1240,2,620.0,620.0,470,770,212.1,cudaGetDriverEntryPoint_v11030
