Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
9.4,40952921,216,189596.9,235841.0,67872,274177,84955.4,   4   24    1, 256    1    1,ampere_sgemm_128x32_sliced1x4_nt
8.8,38076880,144,264422.8,247649.0,246497,416097,26256.7,   4   48    4, 128    1    1,ampere_sgemm_128x64_tn
8.5,36825007,144,255729.2,242465.0,241633,379362,20499.8,   6   96    1, 256    1    1,ampere_sgemm_128x32_nn
6.0,26039750,288,90415.8,85408.5,83840,242241,10952.7,  16   24    1, 128    1    1,ampere_sgemm_32x32_sliced1x4_tn
5.2,22410576,222,100948.5,75071.5,74496,984163,133871.6,  16   24    1, 128    1    1,ampere_sgemm_32x32_sliced1x4_tt
4.3,18689572,72,259577.4,243457.0,243073,423905,29034.9,  24   12    1, 128    1    1,ampere_sgemm_128x64_tn
4.1,17567074,72,243987.1,231441.0,230401,267553,17193.8,   4   24   11, 256    1    1,ampere_sgemm_128x32_nn
4.0,17382942,72,241429.8,229680.5,229089,265825,16924.8,   4   48    5, 128    1    1,ampere_sgemm_128x64_nt
3.8,16566209,72,230086.2,218848.5,218369,253185,16131.6,   1    1 4096, 256    1    1,ampere_sgemm_128x128_nt
3.5,15276687,216,70725.4,67840.5,66528,78560,4787.0,   6   24    3, 256    1    1,ampere_sgemm_128x32_nt
3.1,13519823,288,46943.8,49088.0,30752,57120,8963.3,   1    1   48, 256    1    1,ampere_sgemm_128x128_nn
2.9,12637300,942,13415.4,14160.0,8992,18240,2237.6,1536    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
