Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
10.6,63441988,216,293712.9,308289.0,82656,539778,152353.3,CUDA_KERNEL,ampere_sgemm_128x32_sliced1x4_nt
10.0,59649307,216,276154.2,301665.0,34144,546241,180802.0,CUDA_KERNEL,ampere_sgemm_128x128_tn
9.1,54350878,144,377436.7,347089.0,287105,525442,89178.3,CUDA_KERNEL,ampere_sgemm_64x32_sliced1x4_nn
5.9,35291193,78,452451.2,362145.0,300993,1595398,234120.8,CUDA_KERNEL,ampere_sgemm_128x64_tn
5.7,33905726,288,117728.2,104288.0,85856,234337,27942.7,CUDA_KERNEL,ampere_sgemm_128x32_tn
5.1,30704304,144,213224.3,185376.5,54976,504962,154670.2,CUDA_KERNEL,ampere_sgemm_128x128_nt
4.5,26806980,72,372319.2,328577.0,272257,498722,87145.2,CUDA_KERNEL,ampere_sgemm_128x64_nn
4.3,25962877,72,360595.5,331425.0,275520,502786,86161.5,CUDA_KERNEL,ampere_sgemm_128x64_nt
4.2,24949762,216,115508.2,106288.5,88224,161312,27117.1,CUDA_KERNEL,ampere_sgemm_32x32_sliced1x4_tt
3.8,22688278,216,105038.3,96672.0,80128,147392,25115.1,CUDA_KERNEL,ampere_sgemm_64x32_sliced1x4_nt
3.2,19213853,288,66714.8,59792.0,33280,218528,21981.0,CUDA_KERNEL,ampere_sgemm_128x128_nn
2.9,17396402,1098,15843.7,14384.5,4896,212993,13995.6,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
