Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.7,525569148,228,2305127.8,26505.0,9500,78545715,9970799.0,cudaStreamSynchronize
39.5,509953908,4058,125666.3,8680.0,5400,87221799,2340633.2,cudaLaunchKernel
15.8,203568564,149,1366232.0,280938.0,8690,76557461,8802155.2,cudaMalloc
1.7,21379166,4,5344791.5,6594974.5,1286580,6902637,2710296.8,cuLibraryLoadData
1.0,12635997,300,42120.0,13750.0,9689,5143131,296364.6,cudaMemcpyAsync
0.5,6690507,232,28838.4,1930.0,680,5987003,392900.1,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.3,4066358,2,2033179.0,2033179.0,24450,4041908,2840771.8,cudaDeviceSynchronize
0.2,2186013,1,2186013.0,2186013.0,2186013,2186013,0.0,cudaFree
0.2,2057814,1,2057814.0,2057814.0,2057814,2057814,0.0,cudaGetDeviceProperties_v2_v12000
0.1,810337,72,11254.7,8715.0,7450,52870,6538.7,cudaMemsetAsync
0.0,410268,320,1282.1,1199.5,620,12929,1028.9,cudaStreamIsCapturing_v10000
0.0,283958,810,350.6,305.0,170,2560,161.9,cuGetProcAddress_v2
0.0,71929,1,71929.0,71929.0,71929,71929,0.0,cuModuleLoadData
0.0,37429,18,2079.4,670.0,570,19849,4551.1,cudaEventCreateWithFlags
0.0,16510,3,5503.3,2330.0,1170,13010,6526.8,cuInit
0.0,14890,4,3722.5,2050.0,1580,9210,3667.1,cuLibraryGetKernel
0.0,10780,1,10780.0,10780.0,10780,10780,0.0,cuLaunchKernel
0.0,2320,3,773.3,240.0,230,1850,932.4,cuModuleGetLoadingMode
0.0,1150,2,575.0,575.0,460,690,162.6,cudaGetDriverEntryPoint_v11030
