Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.6,746872038,11036,67676.0,7690.0,4820,109633944,1698752.8,cudaLaunchKernel
24.8,345154352,228,1513834.9,22760.0,5820,77761127,8277662.8,cudaStreamSynchronize
10.6,148204528,183,809860.8,281518.0,4490,74364263,5484817.5,cudaMalloc
7.2,99923106,2,49961553.0,49961553.0,49444642,50478464,731022.5,cudaDeviceSynchronize
1.6,22511939,4,5627984.8,6986692.0,1319440,7219115,2874488.5,cuLibraryLoadData
0.7,10236917,534,19170.3,14320.0,9630,123209,13089.8,cudaMemcpyAsync
0.6,8289943,990,8373.7,1500.0,650,6099524,193857.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.3,4781233,78,61297.9,965.0,820,4688474,530729.2,cuKernelGetFunction
0.2,2177046,288,7559.2,6960.0,6000,21400,1901.2,cudaMemsetAsync
0.2,2157083,2,1078541.5,1078541.5,2710,2154373,1521455.5,cudaFree
0.1,2056684,1,2056684.0,2056684.0,2056684,2056684,0.0,cudaGetDeviceProperties_v2_v12000
0.1,750181,79,9496.0,8910.0,8020,17140,1900.9,cuLaunchKernel
0.0,472444,357,1323.4,1240.0,610,13210,1064.1,cudaStreamIsCapturing_v10000
0.0,251810,810,310.9,290.0,170,1030,115.9,cuGetProcAddress_v2
0.0,68349,1,68349.0,68349.0,68349,68349,0.0,cuModuleLoadData
0.0,50929,36,1414.7,645.0,560,10089,1953.4,cudaEventCreateWithFlags
0.0,16460,5,3292.0,1670.0,1430,9300,3391.4,cuLibraryGetKernel
0.0,7500,3,2500.0,2150.0,1110,4240,1594.1,cuInit
0.0,2090,3,696.7,230.0,220,1640,817.0,cuModuleGetLoadingMode
0.0,1360,2,680.0,680.0,450,910,325.3,cudaGetDriverEntryPoint_v11030
