Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
9.3,98828899,144,686311.8,600610.5,586498,1177444,177725.7,  16   24    1, 256    1    1,ampere_sgemm_128x32_sliced1x4_nt
9.1,96451807,144,669804.2,585026.0,569954,1191493,172965.4,  16   96    1, 256    1    1,ampere_sgemm_128x32_tn
8.3,88426757,144,614074.7,538274.0,526306,966084,159330.9,   6   48    6, 128    1    1,ampere_sgemm_128x64_nn
4.9,52294625,288,181578.6,158209.0,153856,338305,46621.3,  16   12    1, 128    1    1,ampere_sgemm_128x64_tn
4.7,50054653,72,695203.5,610418.0,596451,1087268,178179.9,  24   12    1, 128    1    1,ampere_sgemm_128x64_tn
4.5,47912619,72,665453.0,581378.0,567298,1040132,168893.4,  64    6    3, 256    1    1,ampere_sgemm_32x128_nn
4.4,46806796,72,650094.4,569202.0,556034,1021987,169174.9, 192    8    1, 128    1    1,void cutlass::Kernel2<cutlass_80_simt_sgemm_32x128_8x5_nt_align1>(T1::Params)
4.2,44894893,72,623540.2,546610.0,534114,981316,162324.9,   1    1 16384, 256    1    1,ampere_sgemm_128x128_nt
3.7,39745364,216,184006.3,161040.5,156608,304161,46464.9,  16   12    1, 128    1    1,ampere_sgemm_128x64_tt
3.6,38460041,216,178055.7,156369.0,151553,339554,46320.0,  12   24    1, 256    1    1,ampere_sgemm_64x32_sliced1x4_nt
3.2,33676956,144,233867.8,205249.0,200033,365793,59391.2,   1    4   48, 256    1    1,ampere_sgemm_128x128_nn
2.6,27216161,288,94500.6,87904.5,81344,300193,21510.2,49152    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.4,24961393,432,57781.0,58720.0,51488,201249,7601.3,12288    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.0,21496384,942,22819.9,23136.0,12512,228705,11314.9,6144    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.6,17414008,1050,16584.8,11120.0,9600,194241,10188.7,6144    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.6,17141729,144,119039.8,118337.0,117217,220545,8540.2,24576    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.6,16614551,72,230757.7,202784.5,197601,363074,59999.9,   4    1   48, 256    1    1,ampere_sgemm_128x128_nn
1.6,16537727,72,229690.7,201649.0,196481,361762,59961.9,   1    4   48, 256    1    1,ampere_sgemm_128x128_nt
1.3,13601010,6,2266835.0,1969127.5,1967559,3515308,619331.8,  64   24    1, 128    1    1,ampere_sgemm_32x32_sliced1x4_tt
1.2,13205493,72,183409.6,159504.5,155489,290145,48639.3,  32   24    1, 256    1    1,ampere_sgemm_64x32_sliced1x4_nt
1.2,12582858,216,58254.0,57952.0,54721,64192,2171.9,1536    1    1,  32   16    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
1.2,12218381,6,2036396.8,1762886.5,1749414,3214060,583756.0, 632    3    1, 128    1    1,void cutlass::Kernel2<cutlass_80_simt_sgemm_32x128_8x5_nt_align1>(T1::Params)
1.2,12217779,144,84845.7,80128.5,79104,108608,10234.7,49152    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.1,12192039,72,169333.9,147376.5,143201,320385,46133.6,   6   24    6, 256    1    1,ampere_sgemm_128x32_nn
1.1,11995790,6,1999298.3,1721126.5,1719399,3165036,578326.6,  16  157    1, 128    1    1,ampere_sgemm_128x64_tn
