Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.2,4136267245,912,4535380.8,12960.0,3760,79479927,16382696.6,cudaStreamSynchronize
9.8,483838460,16010,30221.0,9000.0,5280,88601446,868760.5,cudaLaunchKernel
4.8,233909973,543,430773.4,270888.0,7680,72277452,3092958.9,cudaMalloc
0.5,22707985,4,5676996.3,7004241.0,1324690,7374813,2909311.8,cuLibraryLoadData
0.4,19105458,1200,15921.2,12770.0,9430,109539,9114.4,cudaMemcpyAsync
0.1,7049926,304,23190.5,2125.0,690,5812285,333198.7,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,5307710,576,9214.8,7960.0,6390,63410,4247.2,cudaMemsetAsync
0.0,2193793,1,2193793.0,2193793.0,2193793,2193793,0.0,cudaFree
0.0,2050254,1,2050254.0,2050254.0,2050254,2050254,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1459868,1218,1198.6,1170.0,600,13849,645.7,cudaStreamIsCapturing_v10000
0.0,275687,810,340.4,260.0,180,2980,175.0,cuGetProcAddress_v2
0.0,77289,2,38644.5,38644.5,32650,44639,8477.5,cudaDeviceSynchronize
0.0,69739,1,69739.0,69739.0,69739,69739,0.0,cuModuleLoadData
0.0,32330,18,1796.1,815.0,670,11180,2597.3,cudaEventCreateWithFlags
0.0,19100,3,6366.7,2480.0,1210,15410,7857.5,cuInit
0.0,17360,4,4340.0,2225.0,1800,11110,4525.1,cuLibraryGetKernel
0.0,10570,1,10570.0,10570.0,10570,10570,0.0,cuLaunchKernel
0.0,2250,3,750.0,240.0,220,1790,900.7,cuModuleGetLoadingMode
0.0,1230,2,615.0,615.0,460,770,219.2,cudaGetDriverEntryPoint_v11030
